sigma,MSE,NMSE,RMSE,NRMSE,MAE,NMAE,MDE,NMDE,MAX,NMAX,R2,True Mean,True Std,Predicted Mean,Predicted Std
0.1,48.81010350892602,6.0328882395041115,6.986422797750364,0.8635160530860956,5.4231467085584875,0.6702964273203159,4.704535660654628,0.5814766988621677,29.463274627118537,0.1863584732898073,0.2543400260626115,136.957421875,8.090669273352574,137.87607018126772,3.5421068494751173
0.2,48.810242677267176,6.032905440595449,6.9864327576573135,0.8635172841223193,5.423182662067938,0.6703008711442119,4.7049531935566336,0.5815283055819456,29.463480674816296,0.18635977656430294,0.25433790002201373,136.957421875,8.090669273352574,137.87590394822493,3.5423540565305305
0.3,48.80018096089228,6.0316618208113555,6.985712630855372,0.8634282770479215,5.421237335330438,0.6700604303757445,4.697462241255451,0.580602430101427,29.49821345176123,0.1865794652230312,0.254491610394058,136.957421875,8.090669273352574,137.8730819539067,3.545726819208306
0.4,48.37828397273013,5.979515703610433,6.955449947539709,0.8596878345340572,5.393792545358198,0.6666682771378619,4.701931976027339,0.5811548856055234,29.724636857211223,0.18801161832518168,0.2609368271541437,136.957421875,8.090669273352574,137.86153218774518,3.5901517754029952
0.5,47.09767146713681,5.8212330619245165,6.8627743272773305,0.8482332048697827,5.313819766552983,0.6567837081234525,4.6020461627362295,0.5688090820735346,30.00454281556084,0.18978205449437596,0.2805004301563373,136.957421875,8.090669273352574,137.7746390413705,3.7066225275921663
0.6,45.400110605869244,5.611415949901578,6.7379604188410935,0.8328063094895298,5.21695406633308,0.6448111880577838,4.573725177077591,0.5653086317768062,29.867673181230245,0.18891633890721218,0.30643365087442953,136.957421875,8.090669273352574,137.65508840108447,3.798603717652292
0.7,44.7253211376069,5.528012532277669,6.6876992409652285,0.8265940696639068,5.16360950802893,0.638217844973072,4.3197706160018186,0.5339200590276769,29.0927617080972,0.18401493806513095,0.31674224399646034,136.957421875,8.090669273352574,137.51597475585243,3.855058829942988
0.8,45.16670870398527,5.582567668752241,6.72061817870836,0.8306628230180395,5.163821566705916,0.6382440552493571,4.115294751548504,0.5086470120713792,27.76816167411873,0.17563669623098502,0.3099992744557012,136.957421875,8.090669273352574,137.427677454717,3.8297562110533896
0.9,46.175996169278676,5.707314760889303,6.7952922063203935,0.8398924707874743,5.212599615926629,0.6442729816054705,4.153582016543496,0.5133792862135315,26.508096924173643,0.1676666472117245,0.2945806375145117,136.957421875,8.090669273352574,137.3749210482124,3.7540254540642697
1.0,47.39624367868312,5.858136339200932,6.884492986319553,0.8509176130823091,5.293694257459968,0.654296211920969,4.314115228707337,0.5332210578568951,25.452848576400314,0.16099208460721262,0.27593921574630564,136.957421875,8.090669273352574,137.3513693966864,3.666871931562826
1.1,48.67854508984705,6.016627728212138,6.9770011530633305,0.8623515456308144,5.374012136604049,0.6642234350505333,4.351291883477273,0.5378160614979884,24.578820689631826,0.15546376147774715,0.2563498117481454,136.957421875,8.090669273352574,137.34545246748456,3.5778421822770987
1.2,49.83843818712428,6.1599895513307095,7.059634423050834,0.8725649491448679,5.447695283298648,0.6733306107618532,4.307765452003295,0.5324362307320298,23.823199066197603,0.15068437107019358,0.2386304095238142,136.957421875,8.090669273352574,137.35179021089658,3.4820237449719476
1.3,50.86649335421684,6.287056315816876,7.132074968353659,0.8815185403565882,5.521211669399489,0.6824171750023388,4.39475918057515,0.5431885833041931,23.31039177043867,0.14744080816216742,0.2229250630075904,136.957421875,8.090669273352574,137.36542831049007,3.3941541543982305
1.4,51.66370992048907,6.385591621035437,7.187747207608867,0.8883995828728816,5.585232043533519,0.6903300400535513,4.5063522775276965,0.556981397369661,22.987915496843456,0.14540111003696052,0.21074618115129007,136.957421875,8.090669273352574,137.38121132315018,3.3133729488042465
1.5,52.299451642349545,6.464168769647154,7.2318359800502625,0.8938489185151882,5.633620920215632,0.6963108650072404,4.530722252860684,0.5599935060728621,22.77941937190718,0.14408234896841987,0.2010341108692284,136.957421875,8.090669273352574,137.40236382972543,3.2422877078676966
1.6,52.766039109335836,6.52183859289936,7.264023617068975,0.8978272837073888,5.673165238222387,0.7011985098572157,4.6115013865056085,0.5699777398754944,22.76865721623392,0.14401427714252954,0.19390616863061205,136.957421875,8.090669273352574,137.42448748185438,3.17902340287818
1.7,53.09721281430264,6.56277138767538,7.286783434019611,0.9006403781723421,5.701720978253488,0.7047279755993332,4.603224627796877,0.5689547393758951,22.661438465097206,0.1433361066736066,0.18884690920558056,136.957421875,8.090669273352574,137.43737960331202,3.1392884517207453
1.8,53.20816059717754,6.576484441457015,7.294392407677115,0.9015808409944432,5.714320978959435,0.7062853252177939,4.605399367248495,0.5692235353652184,22.6400347115069,0.1432007255629785,0.18715198715175252,136.957421875,8.090669273352574,137.4454027200324,3.1161508647685516
1.9,53.26559498877458,6.583583284538663,7.298328232463554,0.9020673056679409,5.719348577369878,0.706906732204111,4.577205026674733,0.5657387382957568,22.630456331533765,0.14314014124942293,0.18627457604498177,136.957421875,8.090669273352574,137.45328700817174,3.103572288069729
2.0,53.20189898987303,6.575710511996676,7.293963188135311,0.9015277898156961,5.721288864851414,0.7071465501247282,4.537794822914606,0.560867669855235,22.546188946519862,0.14260714071170058,0.18724764419002604,136.957421875,8.090669273352574,137.4532813040658,3.112882329583507
2.1,52.89449105395035,6.53771514652856,7.2728598951135,0.8989194403320118,5.705315681952335,0.7051722779898273,4.579225148520521,0.5659884236774646,22.453708055214634,0.14202218883753723,0.19194383979318297,136.957421875,8.090669273352574,137.45105722403625,3.136439832966464
