model,MSE,NMSE,RMSE,NRMSE,MAE,NMAE,MDE,NMDE,MAX,NMAX,R2,True Mean,True Std,Predicted Mean,Predicted Std
LinearRegression,45.16670870398545,5.582567668752263,6.720618178708373,0.8306628230180412,5.163821566705933,0.6382440552493592,4.115294751548689,0.5086470120714021,27.7681616741189,0.1756366962309861,0.3099992744556985,136.957421875,8.090669273352574,137.42767745471718,3.8297562110533847
GaussianProcessRegressor,43.26948441613585,5.348072323095471,6.577954424905652,0.8130297015811535,5.154966377651913,0.637149561239675,4.145088056094153,0.5123294397592562,25.503718358964605,0.16131384161267937,0.3389827043468604,136.957421875,8.090669273352574,137.3330313449849,4.060383523347566
SVR,45.62031446079041,5.638632963411997,6.754281194974815,0.8348235438594324,5.207151681125964,0.6435996213905613,4.270515767278553,0.5278322006492,27.418571541534774,0.1734254999464565,0.3030696506179784,136.957421875,8.090669273352574,137.41118648408982,3.545828167611966
MLPRegressor,70.97605191707612,8.772581046025799,8.424728596048428,1.0412894547297975,6.609120922068565,0.8168818547355982,5.463594477722623,0.675295737982705,25.608386376081697,0.16197587840658886,-0.08428372853147859,136.957421875,8.090669273352574,139.37346192955877,0.034623677616926224
